timestamp,sender,receiver,message_type,message
14:38:20,SERVER,ALL,system,piyush joined the chat
14:38:38,piyush,ALL,broadcast,hello from h1
14:39:29,SERVER,ALL,system,piyush_2 joined the chat
14:39:44,piyush_2,ALL,broadcast,hello from 3
14:40:30,SERVER,ALL,system,piyush from 4 joined the chat
14:40:42,piyush from 4,ALL,broadcast,hello from 4
14:41:43,SERVER,ALL,system,piyush from 5 joined the chat
14:41:51,piyush from 5,ALL,broadcast,hello from 5
14:42:57,piyush,ALL,broadcast,pm <piyush_2> hello
14:55:38,piyush,piyush_2,private,"hello, this is pm from h2 to u h3"
15:00:31,piyush_2,piyush,private,this is pm from h3 to h2
11:37:30,piyush,ALL,broadcast,hello
11:37:44,pinki,ALL,broadcast,hello
11:38:26,raj,ALL,broadcast,hello dear
11:38:37,piyush,ALL,broadcast,welcome raj
11:42:17,piyush,pinki,private,hello pinki
11:43:29,hari,ALL,broadcast,hello all
12:38:04,piyush,ALL,broadcast,/list/list
